Age,Monthly_Bill,Internet_Usage_GB,Contract_Type,Customer_Tenure,Support_Tickets,Payment_Method,Churn
56,43.10002826356429,52.803641648123296,Month-to-Month,60,2,PayPal,0
69,192.94941049382714,428.8618406764492,One Year,11,5,Credit Card,0
46,43.360157750577095,261.82387511889584,Month-to-Month,44,8,Crypto,1
32,43.736004745512325,386.19412400769676,Two Year,3,9,Bank Transfer,1
60,183.88175621516544,64.25134161708212,Two Year,38,9,Credit Card,0
25,98.38903229311751,453.5483054829634,Two Year,40,2,Bank Transfer,1
38,22.005773062158077,295.67718440133075,One Year,19,8,Credit Card,0
56,123.65562498832044,369.3920796937715,Two Year,40,6,Bank Transfer,0
36,124.34700624027909,16.658464320409635,One Year,53,4,Crypto,0
40,22.255144150446743,158.33714519930257,Two Year,36,7,Bank Transfer,0
28,194.77927417039578,134.45526178331045,One Year,67,5,Credit Card,0
28,113.36569340596937,474.84790264864756,Two Year,20,6,Crypto,0
41,116.36118721415521,93.4839458712877,Month-to-Month,28,2,Credit Card,0
70,108.82192875545496,353.81881163033216,Month-to-Month,57,9,Credit Card,0
53,126.0390381324778,22.33401533689722,One Year,3,5,PayPal,0
57,60.21695302701344,99.64435876142504,Two Year,37,2,Bank Transfer,1
41,64.57585611521975,169.96007977292203,Two Year,18,6,Credit Card,0
20,107.15442706126522,397.4584180894961,Month-to-Month,46,9,Crypto,0
39,163.27031240508012,395.1983134508384,Two Year,5,5,Crypto,0
70,19.47426953389398,476.34832900983776,Two Year,57,9,Crypto,0
19,124.64680032184674,458.4669838307755,One Year,26,7,PayPal,1
41,163.28784707619965,41.67578292746316,Month-to-Month,33,7,Credit Card,0
61,39.81428168707316,415.1039933502032,Two Year,36,5,Crypto,1
47,12.854282976307596,226.1356161904684,Two Year,22,1,PayPal,0
55,69.41552607687703,433.077159274137,One Year,17,9,Crypto,0
19,121.74730427862364,45.55383951403415,One Year,44,9,PayPal,0
38,36.273802946902066,411.56178165216045,One Year,52,5,Bank Transfer,0
50,90.96325048477225,80.66161698138637,One Year,22,0,Credit Card,0
29,114.94108450111281,167.58697340460176,Two Year,69,5,Crypto,0
39,123.78778800389026,15.395351744720813,Two Year,1,5,PayPal,0
61,62.138226990071274,62.740316005382134,Two Year,30,5,Credit Card,0
42,86.00563083739536,223.41721682077895,One Year,39,8,Bank Transfer,1
66,157.88445352283614,409.3508294816007,Two Year,35,3,PayPal,0
44,188.83079188293024,387.0612159111598,Month-to-Month,69,6,Crypto,0
59,173.7572629124689,118.4135831263803,Month-to-Month,70,2,Credit Card,0
45,117.21386532935206,76.6935340855712,Two Year,11,7,Bank Transfer,0
33,87.95563255934984,195.24246802790327,One Year,51,1,Bank Transfer,0
32,73.26175673056946,441.75090525922946,Month-to-Month,63,1,PayPal,1
64,33.74174755596343,46.621112007338574,Two Year,34,4,Bank Transfer,0
68,30.244736971061464,271.9140911618308,Month-to-Month,55,0,Crypto,0
61,140.78794873359496,45.31493222211791,Month-to-Month,20,0,PayPal,1
72,59.36093907252047,235.63584846095523,Month-to-Month,58,2,Bank Transfer,0
69,58.385720422164894,64.26896456833015,Month-to-Month,17,5,Credit Card,0
74,199.6570603507793,41.08813056468303,Two Year,34,9,Crypto,1
20,45.70593199602113,96.2338171987288,Month-to-Month,62,5,Credit Card,1
54,38.13135430287764,128.37275366501433,Two Year,34,7,Bank Transfer,0
68,28.750193274384916,138.85642418658097,Month-to-Month,19,6,Crypto,0
24,120.16301558169127,322.9887056764191,Month-to-Month,66,0,Credit Card,0
38,129.29412694039928,28.43595593581775,Month-to-Month,42,0,Bank Transfer,0
26,79.39330598880757,41.323720892776706,Two Year,51,3,Crypto,1
56,111.72853374717887,95.16437457815428,Month-to-Month,71,0,Crypto,0
35,159.79591087953338,436.15947152152955,Month-to-Month,49,0,Crypto,0
21,165.4397919811322,314.67385810555317,One Year,29,9,Bank Transfer,0
42,192.00329438597316,365.45445993478984,Month-to-Month,30,0,Bank Transfer,1
31,166.61091732534615,185.81071562327193,One Year,25,2,Crypto,0
67,117.31987297631105,107.39695418593044,Two Year,68,9,Crypto,1
26,44.13482350900074,19.94271912049349,Month-to-Month,62,1,Crypto,1
43,28.955075963540054,244.7792743659742,Month-to-Month,38,9,Bank Transfer,0
70,20.357259083063248,287.56620114942916,One Year,17,7,PayPal,0
19,136.63990803922292,448.60439439447816,One Year,1,6,Credit Card,0
37,163.4318885256187,441.164396395748,Month-to-Month,18,9,Credit Card,0
45,106.64995062997501,212.91789407765523,Two Year,63,7,Credit Card,1
64,20.39569321839159,212.3653865727276,One Year,46,3,PayPal,0
24,111.73940917235426,81.400325461201,Month-to-Month,19,8,Bank Transfer,1
61,187.79235968966458,129.46704493345283,One Year,50,4,Crypto,0
25,123.54650627716748,462.9061245841248,Two Year,54,6,Crypto,0
64,163.79122280793482,71.37696945666586,One Year,31,3,PayPal,0
52,162.02900319443262,484.3810738250821,Month-to-Month,65,0,Credit Card,0
31,187.10452895832404,252.86453655738302,One Year,46,7,Bank Transfer,0
34,156.34346547347593,228.84678060864871,Two Year,35,8,Bank Transfer,0
53,152.06309766248702,88.1445519624909,Month-to-Month,49,8,Bank Transfer,0
67,54.47950634442171,331.10908399075794,Month-to-Month,34,9,Crypto,0
57,21.385779511005474,230.46291366276168,Month-to-Month,29,7,Credit Card,0
21,108.34389836022346,185.9608708886974,Month-to-Month,6,0,Credit Card,1
19,33.642499509883486,132.9935930740607,Two Year,1,2,PayPal,0
23,192.81721649281835,34.176914704421115,Month-to-Month,55,4,Credit Card,0
71,65.08570490027543,260.1447301589968,Two Year,27,6,Crypto,0
59,172.0593986430157,157.14125819625974,Two Year,12,7,Crypto,0
21,83.64867878846727,354.2247362983833,One Year,4,0,Bank Transfer,0
71,71.40690747290171,362.0376560178271,One Year,52,4,Bank Transfer,1
46,187.68012875155802,166.72139875736042,Month-to-Month,11,2,Credit Card,1
35,79.03128869638256,334.8912210998137,Month-to-Month,52,6,Bank Transfer,1
43,84.15470264599593,130.07894489946764,Two Year,26,5,Bank Transfer,0
61,30.157438126452742,363.85968939483433,One Year,28,0,PayPal,1
51,137.38486640367677,9.022495627065775,Month-to-Month,66,1,Bank Transfer,0
27,64.87948875072756,76.65277472567108,Month-to-Month,27,4,Bank Transfer,1
53,121.26479188950637,123.25932229181066,Two Year,55,4,Credit Card,0
31,122.3568237701098,386.69480800626667,One Year,71,0,Credit Card,0
48,146.64794216319572,34.12175028911986,Month-to-Month,54,3,Bank Transfer,0
65,151.59588237276384,94.84051471404995,Month-to-Month,46,8,PayPal,0
32,107.7459625362925,179.95342864709184,Month-to-Month,36,8,Crypto,0
25,72.88847004464657,5.578322082302538,Month-to-Month,21,4,Crypto,0
31,169.11567001859945,381.2983667118299,Month-to-Month,49,6,Crypto,0
40,68.87447338761208,280.4924696863951,Month-to-Month,34,1,PayPal,0
74,106.42672794917297,450.4390141229886,One Year,34,0,Bank Transfer,0
57,86.23799080870833,16.48448523992777,Two Year,40,1,Crypto,0
38,172.46489333424074,136.4239511993938,Two Year,7,3,Bank Transfer,1
33,92.06452091770747,365.8945770609144,Two Year,52,5,Bank Transfer,0
62,83.35884587912201,337.8995603050382,Month-to-Month,49,2,Bank Transfer,0
35,141.06650165055112,122.28566286174924,Two Year,37,1,Crypto,1
64,124.46381087367412,298.248179749063,One Year,62,6,PayPal,0
70,30.376898364210753,397.0850689007691,Month-to-Month,15,7,PayPal,0
41,106.55207320535301,17.656970963972753,One Year,2,8,PayPal,0
43,149.74089378331706,359.096570037838,Month-to-Month,11,9,PayPal,1
42,198.49420527235768,126.79643549187381,Month-to-Month,17,7,Bank Transfer,0
62,129.53789845436063,473.977792978532,Two Year,45,1,Crypto,0
58,80.35568262385037,269.57189045919307,One Year,68,2,PayPal,0
46,52.9688039624025,17.659705133009282,Two Year,61,0,PayPal,0
32,175.83774448913084,202.31187877249508,Month-to-Month,46,0,PayPal,0
62,164.7673903015655,483.1896172515234,One Year,32,5,Credit Card,0
18,54.44533594808313,365.45612362886254,One Year,19,2,Bank Transfer,0
42,48.12009712784896,150.93902283954463,Month-to-Month,67,3,PayPal,0
24,145.87598759412336,288.05837986261923,Two Year,4,9,Bank Transfer,1
26,69.8408917645643,299.9515764541785,Month-to-Month,25,7,Bank Transfer,0
41,68.21577168877198,12.650732230821902,One Year,21,4,Bank Transfer,0
18,38.9351469428545,90.23784726336177,One Year,14,5,Credit Card,0
61,60.15534874486768,276.33669221780167,One Year,22,8,Credit Card,0
25,91.22643594260342,201.97352668685383,Month-to-Month,48,1,PayPal,0
